,Nuclear,PV,Wind Onshore,Wind Offshore,Hydro,OCGT,CCGT,TACH2
1980,0.0,0.0,0.0,55.711559466058304,22.644875,36.61778439523031,29.65722391787037,0.0
1981,0.0,0.0,0.0,52.52085552004825,22.644875,37.89179375221454,32.088934948520965,0.0
1982,0.0,0.0,0.0,53.380879071836745,22.644875,40.140978369043694,32.51084759035262,0.0
1983,0.0,4.57075868255294,0.0,54.258289007083434,22.644875,44.88852345067634,30.023644767409856,0.0
1984,0.0,0.8089719627659073,2.8277641037837133,54.33297949310585,22.644875,36.47048223031911,30.40405487157847,0.0
1985,0.0,11.298692942456647,0.0,50.645510565231234,22.644875,39.294750712837356,31.25133186503959,0.0
1986,0.0,2.7748100197441192,0.0,53.93899142431734,22.644875,46.78354047353928,30.62521539894607,0.0
1987,0.0,0.0,0.0,56.461069915262776,22.644875,42.44138612289971,29.185011122872783,0.0
1988,0.0,0.0,0.0,56.75468384073659,22.644875,39.871975702573735,28.810072404376935,0.0
1989,0.0,21.931838790514718,0.0,50.97058904683629,22.644875,42.960391615523896,29.25001761218043,0.0
1990,0.0,13.174362422786063,0.0,54.19064430166661,22.644875,31.61196601165784,28.997108679505363,0.0
1991,0.0,3.6781648389871595,0.0,52.64382866010367,22.644875,38.908291330751396,30.818440703521212,0.0
1992,0.0,0.0,0.0,53.77127976191435,22.644875,47.09547648810846,30.899075744036477,0.0
1993,0.0,6.675875786013131,0.0,53.02529934336786,22.644875,33.85114918887236,30.234060592898924,0.0
1994,0.0,0.0,0.0,54.693745595485694,22.644875,42.591392847064654,30.81957422480661,0.0
1995,0.0,5.545591100988665,0.0,54.78769018981427,22.644875,43.97213902248749,30.28650672330191,0.0
1996,0.0,0.0,0.0,57.925650054180934,22.644875,39.92438100395583,29.134455353922807,0.0
1997,0.0,14.846583388064007,0.0,49.82230782854243,22.644875,48.59346385937403,30.483773831036736,0.0
1998,0.0,0.0,0.0,57.53870223976968,22.644875,41.347486166017,27.430065052698026,0.0
1999,0.0,12.080793682003415,0.0,53.45134330540692,22.644875,36.28665860041905,29.374777031078477,0.0
2000,0.0,4.627684662439368,0.0,51.839401758414866,22.644875,42.43437174267642,32.3032605203211,0.0
2001,0.0,2.1023370584690153,0.0,54.122313348421386,22.644875,40.6700421486455,29.624912131133115,0.0
2002,0.0,0.0,0.0,57.16824206865661,22.644875,38.683407648835576,27.188379997829585,0.0
2003,0.0,14.402418937061222,0.0,52.297952299496096,22.644875,38.75529129606608,29.5048895619623,0.0
2004,0.0,4.5075267191980135,0.0,53.251436781576835,22.644875,38.309063283920366,31.085941091962468,0.0
2005,0.0,0.0,0.0,56.90235943777295,22.644875,39.88999372487997,30.358858182736668,0.0
2006,0.0,10.425540925552209,0.0,53.35585585584793,22.644875,44.249593355854046,30.43333344595089,0.0
2007,0.0,5.242482900613921,0.0,54.01120959332217,22.644875,47.05057424776194,29.96960406298898,0.0
2008,0.0,10.5111893584223,0.0,50.81449530513154,22.644875,47.822887910790534,31.547742840386064,0.0
2009,0.0,19.10271931234711,0.0,51.27058697515559,22.644875,35.796395635174854,29.681904777209507,0.0
2010,0.0,10.151998847051942,0.0,53.184733406052096,22.644875,35.1218246966334,30.33220091064665,0.0
2011,0.0,27.890533437558844,0.0,50.621297602254096,22.644875,36.05109250118045,31.173904384106965,0.0
2012,0.0,27.436192134156354,0.0,41.98519965277182,22.644875,43.87389531249275,34.10221037327378,0.0
2013,0.0,18.87181111920047,0.0,48.22663468372293,22.644875,38.26631421063443,32.51149095876969,0.0
2014,0.0,25.094836701890145,0.0,45.70700619768245,22.644875,35.134095196651195,32.76565693215436,0.0
